회차,날짜,1,2,3,4,5,6,보너스
1205,2025-12-27,8,15,22,23,31,40,43
1204,2025-12-20,1,10,17,25,33,39,12
1203,2025-12-13,5,11,18,24,35,42,2
1202,2025-12-06,7,9,24,27,35,36,37
1201,2025-11-29,1,2,4,16,20,32,45
1200,2025-11-22,16,24,25,30,31,32,7
1199,2025-11-15,3,13,23,33,43,44,11
1198,2025-11-08,1,5,10,15,20,25,30
1197,2025-11-01,2,12,22,32,42,45,1
1196,2025-10-25,4,8,16,24,30,38,10
1195,2025-10-18,6,14,21,28,34,41,9
1194,2025-10-11,1,7,13,19,26,37,4
1193,2025-10-04,10,20,30,35,40,45,5
1192,2025-09-27,11,12,13,14,15,16,17
1191,2025-09-20,1,2,3,4,5,6,7
